"Server","User","Password","Database","Role"
"sql3","User30","Password30","4-Stay Stay Stay (Taylor’s version)","db_owner"
"sql3","User31","Password31","Guitar Solo - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_owner"
"sql3","User32","Password32","The Ecstasy of Gold - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User33","Password33","4-I Look in People's Windows","db_owner"
"sql3","User34","Password34","2-Tied Together with a Smile","db_datareader"
"sql3","User35","Password35","2-Maroon","db_datawriter"
"sql3","User36","Password36","0-Dear Reader","db_owner"
"sql3","User37","Password37","2-So It Goes…","db_owner"
"sql3","User38","Password38","1-Cornelia Street","db_datawriter"
"sql3","User39","Password39","3-Fresh Out the Slammer","db_datawriter"
"sql3","User40","Password40","3-illicit affairs","db_datareader"
"sql3","User41","Password41","Fade to Black - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991","db_datawriter"
"sql3","User42","Password42","5-The Outside","db_datawriter"
"sql3","User43","Password43","0-High Infidelity","db_owner"
"sql3","User44","Password44","0-Invisible","db_datareader"
"sql3","User45","Password45","Sad But True - July 12th, 1990, Demo","db_owner"
"sql3","User46","Password46","3-Glitch","db_owner"
"sql3","User47","Password47","Welcome Home (Sanitarium) - Live at Arco Arena, Sacramento, CA / January 11th, 1992","db_datareader"
"sql3","User48","Password48","5-London Boy","db_owner"
"sql3","User49","Password49","4-The Great War","db_datareader"
"sql3","User50","Password50","3-Stay Stay Stay (Taylor’s version)","db_datawriter"
"sql3","User51","Password51","Through the Never - Take 53 - October 22nd, 1990","db_owner"
"sql3","User52","Password52","2-I Can Fix Him (No Really I Can)","db_owner"
"sql3","User53","Password53","2-Tied Together with a Smile","db_datawriter"
"sql3","User54","Password54","Of Wolf and Man - August 22nd, 1990, Writing in Progress","db_owner"
"sql3","User55","Password55","Fight Fire With Fire - Live In Santiago, Chile - April 1st, 2017","db_datawriter"
"sql3","User56","Password56","5-Holy Ground (Taylor’s version)","db_datareader"
"sql3","User57","Password57","1-The Moment I Knew (Taylor’s version)","db_owner"
"sql3","User58","Password58","4-London Boy","db_datareader"
"sql3","User59","Password59","3-The Way I Loved You","db_owner"
"sql3","User60","Password60","Battery - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User61","Password61","5-closure","db_datareader"
"sql3","User62","Password62","5-Hey Stephen","db_datareader"
"sql3","User63","Password63","1-Treacherous (Taylor’s version)","db_datareader"
"sql3","User64","Password64","1-I Forgot That You Existed","db_datareader"
"sql3","User65","Password65","2-We Were Happy","db_datawriter"
"sql3","User66","Password66","1-Bad Blood","db_datawriter"
"sql3","User67","Password67","Sad But True - Remastered 2021","db_datareader"
"sql3","User68","Password68","3-All Too Well (10 minute version) (Taylor’s version)","db_datawriter"
"sql3","User69","Password69","Fuel - Live In Santiago, Chile - April 1st, 2017","db_owner"
"sql3","User70","Password70","5-So High School","db_datawriter"
"sql3","User71","Password71","5-I Forgot That You Existed","db_datareader"
"sql3","User72","Password72","1-Lavender Haze","db_datawriter"
"sql3","User73","Password73","5-I Did Something Bad","db_datawriter"
"sql3","User74","Password74","3-I Knew You Were Trouble (Taylor’s version)","db_datawriter"
"sql3","User75","Password75","3-You\'re Losing Me","db_owner"
"sql3","User76","Password76","4-Call It What You Want","db_owner"
"sql3","User77","Password77","Sad But True - From James' Riff Tapes","db_owner"
"sql3","User78","Password78","0-Better Than Revenge","db_datawriter"
"sql3","User79","Password79","2-The Lucky One (Taylor’s version)","db_datareader"
"sql3","User80","Password80","5-Babe (Taylor’s version)","db_datareader"
"sql3","User81","Password81","3-Soon You\'ll Get Better","db_datawriter"
"sql3","User82","Password82","2-Tim McGraw","db_owner"
"sql3","User83","Password83","2-I Almost Do (Taylor’s version)","db_owner"
"sql3","User84","Password84","5-cowboy like me","db_owner"
"sql3","User85","Password85","4-Bad Blood","db_datawriter"
"sql3","User86","Password86","1-Sweet Nothing","db_datawriter"
"sql3","User87","Password87","Late Night Skynard Jam - January 23rd, 1991","db_datawriter"
"sql3","User88","Password88","Wherever I May Roam - August 13th, 1990, Demo","db_datawriter"
"sql3","User89","Password89","4-Fortnight","db_datareader"
"sql3","User90","Password90","4-Last Kiss","db_owner"
"sql3","User91","Password91","1-the lakes","db_datareader"
"sql3","User92","Password92","1-The Albatross","db_owner"
"sql3","User93","Password93","Nothing Else Matters - Elevator Version","db_datawriter"
"sql3","User94","Password94","2-Would\'ve, Could\'ve, Should\'ve","db_datareader"
"sql3","User95","Password95","0-White Horse","db_owner"
"sql3","User96","Password96","0-illicit affairs","db_owner"
"sql3","User97","Password97","3-You\'re Not Sorry","db_datawriter"
"sql3","User98","Password98","2-right where you left me","db_datawriter"
"sql3","User99","Password99","2-Wonderland","db_datawriter"
"sql3","User100","Password100","1-Robin","db_owner"
"sql3","User101","Password101","4-Forever Winter (Taylor’s version)","db_owner"
"sql3","User102","Password102","So What - Early Take - October 12th, 1990","db_owner"
"sql3","User103","Password103","0-Lavender Haze","db_datawriter"
"sql3","User104","Password104","0-Sparks Fly","db_datareader"
"sql3","User105","Password105","0-You All Over Me","db_owner"
"sql3","User106","Password106","0-22 (Taylor’s version)","db_datareader"
"sql3","User107","Password107","1-Lover","db_datareader"
"sql3","User108","Password108","2-Message in a Bottle (Taylor’s version)","db_datareader"
"sql3","User109","Password109","4-Haunted","db_datareader"
"sql3","User110","Password110","4-Forever & Always","db_datareader"
"sql3","User111","Password111","1-Our Song","db_datawriter"
"sql3","User112","Password112","1-Dress","db_datawriter"
"sql3","User113","Password113","The Struggle Within - From James' Riff Tapes","db_datareader"
"sql3","User114","Password114","Crown of Barbed Wire","db_datareader"
"sql3","User115","Password115","2-Fifteen","db_owner"
"sql3","User116","Password116","1-Don\'t You","db_datawriter"
"sql3","User117","Password117","2-hoax","db_datareader"
"sql3","User118","Password118","My Friend of Misery - Take 4 - October 27th, 1990","db_datareader"
"sql3","User119","Password119","3-Stay Beautiful","db_datareader"
"sql3","User120","Password120","Enter Sandman - Take 35 - January 21st, 1991","db_owner"
"sql3","User121","Password121","0-Mine","db_datareader"
"sql3","User122","Password122","5-You\'re on Your Own, Kid","db_datareader"
"sql3","User123","Password123","4-Tied Together with a Smile","db_datawriter"
"sql3","User124","Password124","1-cowboy like me","db_datareader"
"sql3","User125","Password125","5-Call It What You Want","db_owner"
"sql3","User126","Password126","3-Better Than Revenge","db_datawriter"
"sql3","User127","Password127","2-The Best Day","db_datawriter"
"sql3","User128","Password128","The Unforgiven III - Live","db_datareader"
"sql3","User129","Password129","The God That Failed - August 31st, 1990, Demo","db_datawriter"
"sql3","User130","Password130","5-I Can Do It with a Broken Heart","db_owner"
"sql3","User131","Password131","2-imgonnagetyouback","db_owner"
"sql3","User132","Password132","5-The Lucky One (Taylor’s version)","db_datawriter"
"sql3","User133","Password133","5-Breathe","db_datareader"
"sql3","User134","Password134","5-New Romantics","db_datawriter"
"sql3","User135","Password135","1-Love Story","db_datareader"
"sql3","User136","Password136","5-The Bolter","db_datawriter"
"sql3","User137","Password137","2-Don\'t Blame Me","db_datareader"
"sql3","User138","Password138","0-I\'m Only Me When I\'m With You","db_owner"
"sql3","User139","Password139","2-Out Of The Woods","db_datareader"
"sql3","User140","Password140","5-right where you left me","db_owner"
"sql3","User141","Password141","0-peace","db_owner"
"sql3","User142","Password142","4-ivy","db_datawriter"
"sql3","User143","Password143","0-Mean","db_datareader"
"sql3","User144","Password144","2-So Long, London","db_owner"
"sql3","User145","Password145","3-the lakes","db_owner"
"sql3","User146","Password146","3-We Are Never Ever Getting Back Together (Taylor’s version)","db_owner"
"sql3","User147","Password147","3-My Boy Only Breaks His Favorite Toys","db_datareader"
"sql3","User148","Password148","2-Thank You Aimee","db_owner"
"sql3","User149","Password149","1-Daylight","db_datareader"
"sql3","User150","Password150","4-Lavender Haze","db_owner"
"sql3","User151","Password151","4-You\'re Not Sorry","db_datawriter"
"sql3","User152","Password152","0-right where you left me","db_datawriter"
"sql3","User153","Password153","3-Nothing New (Taylor’s version)","db_datawriter"
"sql3","User154","Password154","1-But Daddy I Love Him","db_owner"
"sql3","User155","Password155","1-Wonderland","db_datawriter"
"sql3","User156","Password156","For Whom the Bell Tolls - Live at Day on the Green, Oakland, CA / October 12th, 1991","db_datawriter"
"sql3","User157","Password157","1-Starlight (Taylor’s version)","db_datawriter"
"sql3","User158","Password158","0-Paper Rings","db_datawriter"
"sql3","User159","Password159","2-Dress","db_datawriter"
"sql3","User160","Password160","5-Midnight Rain","db_datawriter"
"sql3","User161","Password161","0-Down Bad","db_owner"
"sql3","User162","Password162","5-Long Live","db_owner"
"sql3","User163","Password163","0-marjorie","db_datawriter"
"sql3","User164","Password164","2-tolerate it","db_datawriter"
"sql3","User165","Password165","0-End Game","db_datawriter"
"sql3","User166","Password166","5-cardigan","db_datawriter"
"sql3","User167","Password167","Sad But True - Live In Santiago, Chile - May 4th, 1993","db_datawriter"
"sql3","User168","Password168","4-Fresh Out the Slammer","db_datareader"
"sql3","User169","Password169","0-Tell Me Why","db_datawriter"
"sql3","User170","Password170","3-The Outside","db_datareader"
"sql3","User171","Password171","0-Cassandra","db_datawriter"
"sql3","User172","Password172","1-The Tortured Poets Department","db_datawriter"
"sql3","User173","Password173","4-Bad Blood","db_datawriter"
"sql3","User174","Password174","1-The Archer","db_owner"
"sql3","User175","Password175","5-Mr. Perfectly Fine","db_datawriter"
"sql3","User176","Password176","1-Call It What You Want","db_datawriter"
"sql3","User177","Password177","0-Soon You\'ll Get Better","db_datareader"
"sql3","User178","Password178","2-closure","db_datawriter"
"sql3","User179","Password179","5-The Bolter","db_owner"
"sql3","User180","Password180","0-The Smallest Man Who Ever Lived","db_owner"
"sql3","User181","Password181","1-The Lucky One (Taylor’s version)","db_datawriter"
"sql3","User182","Password182","2-Maroon","db_owner"
"sql3","User183","Password183","1-The Smallest Man Who Ever Lived","db_datareader"
"sql3","User184","Password184","Cyanide - Live In Buenos Aires, Argentina - January 21st, 2010","db_datawriter"
"sql3","User185","Password185","0-A Place in This World","db_owner"
"sql3","User186","Password186","5-‘tis the damn season","db_datawriter"
"sql3","User187","Password187","0-Hey Stephen","db_owner"
"sql3","User188","Password188","2-Paris","db_datareader"
"sql3","User189","Password189","2-The Way I Loved You","db_datareader"
"sql3","User190","Password190","1-The Outside","db_datareader"
"sql3","User191","Password191","0-seven","db_datawriter"
"sql3","User192","Password192","4-My Boy Only Breaks His Favorite Toys","db_datawriter"
"sql3","User193","Password193","1-I Can Do It with a Broken Heart","db_datareader"
"sql3","User194","Password194","0-Cruel Summer","db_owner"
"sql3","User195","Password195","4-Mary\'s Song (Oh My My My)","db_datawriter"
"sql3","User196","Password196","3-Ronan (Taylor’s version)","db_datareader"
"sql3","User197","Password197","Enter Sandman - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datareader"
"sql3","User198","Password198","0-evermore","db_datareader"
"sql3","User199","Password199","Holier Than Thou - From James' Riff Tapes","db_datareader"
"sql3","User200","Password200","0-False God","db_owner"
"sql3","User201","Password201","0-Thank You Aimee","db_datareader"
"sql3","User202","Password202","2-The Black Dog","db_owner"
"sql3","User203","Password203","1-Wonderland","db_datawriter"
"sql3","User204","Password204","1-The Best Day","db_datawriter"
"sql3","User205","Password205","1-So It Goes…","db_owner"
"sql3","User206","Password206","Bass Solo - Live at Arco Arena, Sacramento, CA / January 11th, 1992","db_datareader"
"sql3","User207","Password207","4-august","db_datawriter"
"sql3","User208","Password208","2-the 1","db_datawriter"
"sql3","User209","Password209","0-Gorgeous","db_owner"
"sql3","User210","Password210","3-The Very First Night (Taylor’s version)","db_datawriter"
"sql3","User211","Password211","The God That Failed - August 31st, 1990, Demo","db_datawriter"
"sql3","User212","Password212","5-no body, no crime","db_datawriter"
"sql3","User213","Password213","0-Wonderland","db_datawriter"
"sql3","User214","Password214","The God That Failed - Pre-Production Rehearsal","db_datareader"
"sql3","User215","Password215","Enter Sandman - Live at Arco Arena, Sacramento, CA / January 11th, 1992","db_datareader"
"sql3","User216","Password216","1-it\'s time to go","db_datareader"
"sql3","User217","Password217","The Unforgiven - Live at Arco Arena, Sacramento, CA / January 11th, 1992","db_owner"
"sql3","User218","Password218","My Friend of Misery - Pre-Production Rehearsal","db_datawriter"
"sql3","User219","Password219","0-Speak Now","db_datawriter"
"sql3","User220","Password220","2-the 1","db_owner"
"sql3","User221","Password221","2-The Prophecy","db_datareader"
"sql3","User222","Password222","Master of Puppets - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User223","Password223","5-Bigger Than the Whole Sky","db_datareader"
"sql3","User224","Password224","Enter Sandman - From Kirk's Riff Tapes","db_datareader"
"sql3","User225","Password225","3-State of Grace (Taylor’s version)","db_datareader"
"sql3","User226","Password226","1-The Black Dog","db_owner"
"sql3","User227","Password227","0-King of My Heart","db_owner"
"sql3","User228","Password228","0-Innocent","db_datareader"
"sql3","User229","Password229","1-Midnight Rain","db_datawriter"
"sql3","User230","Password230","0-Come Back… Be Here (Taylor’s version)","db_owner"
"sql3","User231","Password231","Through the Never - From Kirk's Riff Tapes","db_owner"
"sql3","User232","Password232","1-Better Than Revenge","db_datawriter"
"sql3","User233","Password233","5-All Too Well (Taylor’s version)","db_owner"
"sql3","User234","Password234","5-The Way I Loved You","db_owner"
"sql3","User235","Password235","2-Wonderland","db_datareader"
"sql3","User236","Password236","Through the Never - Live at Day on the Green, Oakland, CA / October 12th, 1991","db_datareader"
"sql3","User237","Password237","The God That Failed - Pre-Production Rehearsal","db_datareader"
"sql3","User238","Password238","4-Starlight (Taylor’s version)","db_datareader"
"sql3","User239","Password239","4-Would\'ve, Could\'ve, Should\'ve","db_owner"
"sql3","User240","Password240","1-The Way I Loved You","db_datareader"
"sql3","User241","Password241","1-London Boy","db_datawriter"
"sql3","User242","Password242","Wherever I May Roam - July 24th, 1990, Writing in Progress","db_datareader"
"sql3","User243","Password243","0-illicit affairs","db_owner"
"sql3","User244","Password244","4-ivy","db_datawriter"
"sql3","User245","Password245","5-The Prophecy","db_owner"
"sql3","User246","Password246","4-this is me trying","db_datawriter"
"sql3","User247","Password247","1-Tim McGraw","db_datareader"
"sql3","User248","Password248","5-Starlight (Taylor’s version)","db_owner"
"sql3","User249","Password249","2-Would\'ve, Could\'ve, Should\'ve","db_datareader"
"sql3","User250","Password250","3-The Lucky One (Taylor’s version)","db_datawriter"
"sql3","User251","Password251","Of Wolf and Man - Take 2 - December 6th, 1990","db_datareader"
"sql3","User252","Password252","4-High Infidelity","db_owner"
"sql3","User253","Password253","4-False God","db_datawriter"
"sql3","User254","Password254","1-Bigger Than the Whole Sky","db_owner"
"sql3","User255","Password255","4-Sad Beautiful Tragic (Taylor’s version)","db_datawriter"
"sql3","User256","Password256","2-A Place in This World","db_datareader"
"sql3","User257","Password257","5-coney island","db_owner"
"sql3","User258","Password258","2-I Look in People's Windows","db_datareader"
"sql3","User259","Password259","0-Tim McGraw","db_datareader"
"sql3","User260","Password260","0-It\'s Nice To Have A Friend","db_datareader"
"sql3","User261","Password261","3-Vigilante Shit","db_owner"
"sql3","User262","Password262","2-Clara Bow","db_datawriter"
"sql3","User263","Password263","0-The Manuscript","db_datareader"
"sql3","User264","Password264","2-Run (Taylor’s version)","db_datawriter"
"sql3","User265","Password265","4-The Prophecy","db_owner"
"sql3","User266","Password266","3-Babe (Taylor’s version)","db_owner"
"sql3","User267","Password267","3-We Were Happy","db_datawriter"
"sql3","User268","Password268","2-The Great War","db_datareader"
"sql3","User269","Password269","5-loml","db_owner"
"sql3","User270","Password270","4-You Belong with Me","db_datawriter"
"sql3","User271","Password271","2-You\'re on Your Own, Kid","db_owner"
"sql3","User272","Password272","One - Live","db_datawriter"
"sql3","User273","Password273","5-Invisible","db_datawriter"
"sql3","User274","Password274","The Unforgiven - From James' Riff Tapes II","db_datawriter"
"sql3","User275","Password275","5-Soon You\'ll Get Better","db_datawriter"
"sql3","User276","Password276","3-Glitch","db_datareader"
"sql3","User277","Password277","4-Forever & Always","db_datareader"
"sql3","User278","Password278","4-Bejeweled","db_datawriter"
"sql3","User279","Password279","3-Our Song","db_datawriter"
"sql3","User280","Password280","One - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User281","Password281","5-mad woman","db_datareader"
"sql3","User282","Password282","5-New Year\'s Day","db_datawriter"
"sql3","User283","Password283","4-The Smallest Man Who Ever Lived","db_owner"
"sql3","User284","Password284","2-End Game","db_datawriter"
"sql3","User285","Password285","4-Mastermind","db_datareader"
"sql3","User286","Password286","1-Innocent","db_owner"
"sql3","User287","Password287","1-Invisible","db_datareader"
"sql3","User288","Password288","3-Better Than Revenge","db_datawriter"
"sql3","User289","Password289","3-This Is Why We Can\'t Have Nice Things","db_datawriter"
"sql3","User290","Password290","1-Fifteen","db_owner"
"sql3","User291","Password291","5-Mary\'s Song (Oh My My My)","db_owner"
"sql3","User292","Password292","4-Forever & Always","db_datareader"
"sql3","User293","Password293","4-Haunted","db_datareader"
"sql3","User294","Password294","2-Hits Different","db_datawriter"
"sql3","User295","Password295","2-Haunted","db_owner"
"sql3","User296","Password296","0-Bejeweled","db_owner"
"sql3","User297","Password297","Sad But True - Live In Santiago, Chile - May 4th, 1993","db_datawriter"
"sql3","User298","Password298","2-Maroon","db_datawriter"
"sql3","User299","Password299","Atlas, Rise! - Live In Santiago, Chile - April 1st, 2017","db_datawriter"
"sql3","User300","Password300","5-Don\'t You","db_owner"
"sql3","User301","Password301","The Unforgiven - Remastered 2021","db_datawriter"
"sql3","User302","Password302","2-I Bet You Think About Me (Taylor’s version)","db_datareader"
"sql3","User303","Password303","The Ecstasy of Gold - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991","db_datawriter"
"sql3","User304","Password304","3-High Infidelity","db_owner"
"sql3","User305","Password305","2-White Horse","db_datawriter"
"sql3","User306","Password306","Enter Sandman - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User307","Password307","0-Teardrops on My Guitar","db_owner"
"sql3","User308","Password308","The Outlaw Torn - Live","db_datawriter"
"sql3","User309","Password309","4-‘tis the damn season","db_owner"
"sql3","User310","Password310","4-Holy Ground (Taylor’s version)","db_datareader"
"sql3","User311","Password311","0-All Too Well (Taylor’s version)","db_datawriter"
"sql3","User312","Password312","5-I Knew You Were Trouble (Taylor’s version)","db_owner"
"sql3","User313","Password313","5-The Very First Night (Taylor’s version)","db_owner"
"sql3","User314","Password314","Stone Cold Crazy - Remastered 2021","db_datareader"
"sql3","User315","Password315","1-Would\'ve, Could\'ve, Should\'ve","db_owner"
"sql3","User316","Password316","1-The Smallest Man Who Ever Lived","db_datareader"
"sql3","User317","Password317","Enter Sandman - Live","db_owner"
"sql3","User318","Password318","5-Cold as You","db_owner"
"sql3","User319","Password319","5-no body, no crime","db_datareader"
"sql3","User320","Password320","Wherever I May Roam - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_owner"
"sql3","User321","Password321","Enter Sandman - Live at Tushino Airfield, Moscow, Russia / September 28th, 1991","db_datawriter"
"sql3","User322","Password322","One - Live In Rio de Janeiro, Brazil - September 19th, 2013","db_datareader"
"sql3","User323","Password323","4-I Bet You Think About Me (Taylor’s version)","db_datareader"
"sql3","User324","Password324","So What - Early Take - October 12th, 1990","db_datawriter"
"sql3","User325","Password325","King Nothing - Live In Santiago, Chile - May 12th, 1999","db_datawriter"
"sql3","User326","Password326","4-ME!","db_datawriter"
"sql3","User327","Password327","0-coney island","db_datawriter"
"sql3","User328","Password328","Sad But True - July 10th, 1990, Writing in Progress","db_datawriter"
"sql3","User329","Password329","2-invisible string","db_owner"
"sql3","User330","Password330","1-Labyrinth","db_datareader"
"sql3","User331","Password331","3-Invisible","db_datareader"
"sql3","User332","Password332","3-I Knew You Were Trouble (Taylor’s version)","db_datareader"
"sql3","User333","Password333","0-The Black Dog","db_owner"
"sql3","User334","Password334","2-All You Had to Do Was Stay","db_owner"
"sql3","User335","Password335","1-I Forgot That You Existed","db_datareader"
"sql3","User336","Password336","5-closure","db_datawriter"
"sql3","User337","Password337","1-Dear John","db_owner"
"sql3","User338","Password338","1-this is me trying","db_datawriter"
"sql3","User339","Password339","5-Midnight Rain","db_datawriter"
"sql3","User340","Password340","5-it\'s time to go","db_owner"
"sql3","User341","Password341","Enter Sandman - Live","db_datawriter"
"sql3","User342","Password342","2-Message in a Bottle (Taylor’s version)","db_datawriter"
"sql3","User343","Password343","Confusion - Live","db_datareader"
"sql3","User344","Password344","1-hoax","db_datareader"
"sql3","User345","Password345","0-Long Live","db_owner"
"sql3","User346","Password346","1-The Manuscript","db_owner"
"sql3","User347","Password347","0-Ronan (Taylor’s version)","db_owner"
"sql3","User348","Password348","The End Of The Line - Live In Porto Alegre, Brazil - January 28th, 2010","db_datareader"
"sql3","User349","Password349","Of Wolf and Man - August 31st, 1990, Demo","db_owner"
"sql3","User350","Password350","0-My Boy Only Breaks His Favorite Toys","db_datawriter"
"sql3","User351","Password351","Nothing Else Matters - Live at Aggie Memorial Stadium, Las Cruces, NM - August 27th, 1992","db_owner"
"sql3","User352","Password352","4-I Know Places","db_datareader"
"sql3","User353","Password353","1-Fortnight","db_datareader"
"sql3","User354","Password354","0-Mastermind","db_owner"
"sql3","User355","Password355","1-loml","db_owner"
"sql3","User356","Password356","2-Begin Again (Taylor’s version)","db_datareader"
"sql3","User357","Password357","0-You\'re Not Sorry","db_datareader"
"sql3","User358","Password358","3-tolerate it","db_owner"
"sql3","User359","Password359","0-Death By A Thousand Cuts","db_datareader"
"sql3","User360","Password360","0-Change","db_owner"
"sql3","User361","Password361","5-It\'s Nice To Have A Friend","db_datareader"
"sql3","User362","Password362","0-hoax","db_datawriter"
"sql3","User363","Password363","5-I\'m Only Me When I\'m With You","db_datareader"
"sql3","User364","Password364","3-Cruel Summer","db_owner"
"sql3","User365","Password365","2-This Is Why We Can\'t Have Nice Things","db_datawriter"
"sql3","User366","Password366","1-seven","db_datareader"
"sql3","User367","Password367","2-But Daddy I Love Him","db_datawriter"
"sql3","User368","Password368","1-Sparks Fly","db_datawriter"
"sql3","User369","Password369","1-Never Grow Up","db_datawriter"
"sql3","User370","Password370","1-Cassandra","db_owner"
"sql3","User371","Password371","3-august","db_owner"
"sql3","User372","Password372","4-Girl at Home (Taylor’s version)","db_datareader"
"sql3","User373","Password373","2-Robin","db_datareader"
"sql3","User374","Password374","0-the 1","db_datareader"
"sql3","User375","Password375","Master Of Puppets - Live In Cordoba, Argentina - January 24th, 2010","db_datareader"
"sql3","User376","Password376","4-Breathe","db_owner"
"sql3","User377","Password377","4-I Can Fix Him (No Really I Can)","db_owner"
"sql3","User378","Password378","Holier Than Thou - Pre-Production Rehearsal","db_datareader"
"sql3","User379","Password379","0-Soon You\'ll Get Better","db_owner"
"sql3","User380","Password380","0-So High School","db_datareader"
"sql3","User381","Password381","1-Hey Stephen","db_datawriter"
"sql3","User382","Password382","3-I Hate It Here","db_datareader"
"sql3","User383","Password383","2-it\'s time to go","db_datareader"
"sql3","User384","Password384","The Unforgiven - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_datawriter"
"sql3","User385","Password385","0-the last great american dynasty","db_datawriter"
"sql3","User386","Password386","4-The Alchemy","db_datawriter"
"sql3","User387","Password387","2-Mr. Perfectly Fine","db_owner"
"sql3","User388","Password388","One - Live","db_datareader"
"sql3","User389","Password389","0-Karma","db_datawriter"
"sql3","User390","Password390","4-Fifteen","db_datareader"
"sql3","User391","Password391","0-I Know Places","db_datawriter"
"sql3","User392","Password392","2-the lakes","db_owner"
"sql3","User393","Password393","All Nightmare Long - Live In Buenos Aires, Argentina - January 21st, 2010","db_datawriter"
"sql3","User394","Password394","0-Nothing New (Taylor’s version)","db_owner"
"sql3","User395","Password395","1-Sparks Fly","db_owner"
"sql3","User396","Password396","1-Mr. Perfectly Fine","db_datareader"
"sql3","User397","Password397","1-champagne problems","db_owner"
"sql3","User398","Password398","4-Treacherous (Taylor’s version)","db_owner"
"sql3","User399","Password399","2-Out Of The Woods","db_datareader"
"sql3","User400","Password400","5-Stay Beautiful","db_owner"
"sql3","User401","Password401","0-Snow on the Beach","db_datawriter"
"sql3","User402","Password402","2-Tied Together with a Smile","db_owner"
"sql3","User403","Password403","2-New Year\'s Day","db_datareader"
"sql3","User404","Password404","Holier Than Thou - Pre-Production Rehearsal","db_datawriter"
"sql3","User405","Password405","2-Call It What You Want","db_owner"
"sql3","User406","Password406","3-Anti-Hero","db_owner"
"sql3","User407","Password407","2-Love Story","db_owner"
"sql3","User408","Password408","2-But Daddy I Love Him","db_owner"
"sql3","User409","Password409","Moth Into Flame - Live","db_datawriter"
"sql3","User410","Password410","5-The Bolter","db_owner"
"sql3","User411","Password411","Confusion - Live","db_datareader"
"sql3","User412","Password412","3-peace","db_owner"
"sql3","User413","Password413","4-the 1","db_datareader"
"sql3","User414","Password414","3-Getaway Car","db_datareader"
"sql3","User415","Password415","2-I Think He Knows","db_datareader"
"sql3","User416","Password416","1-Fortnight","db_owner"
"sql3","User417","Password417","Intro To The Iron Foundry - Live","db_datawriter"
"sql3","User418","Password418","Nothing Else Matters - Remastered 2021","db_owner"
"sql3","User419","Password419","5-Teardrops on My Guitar","db_owner"
"sql3","User420","Password420","1-the 1","db_datawriter"
"sql3","User421","Password421","0-Chloe or Sam or Sophia or Marcus","db_owner"
"sql3","User422","Password422","4-exile","db_owner"
"sql3","User423","Password423","4-Sad Beautiful Tragic (Taylor’s version)","db_owner"
"sql3","User424","Password424","Fade to Black - Live at Maimarktgelände, Mannheim, Germany / May 22nd, 1993","db_owner"
"sql3","User425","Password425","2-I Forgot That You Existed","db_datawriter"
"sql3","User426","Password426","4-Tied Together with a Smile","db_datareader"
